title,content
Products,"Canonical logo
        
      
      
        
    We are hiring
  
        
          Products
        
      
    
  
      
        
      
        Products
        
          
        Ubuntu
      
        Snapcraft
      
        LXD
      
        MAAS
      
        Charmed OpenStack
      
        Charmed Kubernetes
      
        Juju
      
        Multipass
      
        Ubuntu Advantage
      
        
      
      
        Also from Canonical
        
          
        Launchpad
      
        Ubuntu Image Service
      
        Cloud-init
      
        Mir
      
        Landscape
      
        Netplan
      
        Charmed Kubeflow
      
        MicroK8s
      
        MicroStack
      
        
      
      
        Resources
        
          
        Webinars
      
        Tutorials
      
        Videos
      
        Case studies
      
        White papers
      
        Docs
      
        Training
      
        Blog
      
        Developer
      
        Install
      
        Download
      
        
      
      
        About
        
          
        Ubuntu
      
        Canonical
      
        Press centre
      
        Partners
      
        Contact
      
        
      
    
    
      
        
          
          
            
            Ubuntu ›
          
          
            The new standard secure enterprise Linux for servers, desktops, clouds, developers and things.
            
          
        
          
            
            Snapcraft ›
          
          
            The app store with secure packages and ultra-reliable updates for multiple Linux distros.
            
          
        
          Login ›
        
      
        
          
        
          
            
            LXD ›
          
          
            A pure-container hypervisor. Replace legacy app VMs with containers for speed and density
            
          
        
          
            
            MAAS ›
          
          
            Create a bare-metal cloud with Metal as a Service for IPAM and provisioning
            
          
        
          
            
            Charmed OpenStack ›
          
          
            Upgrades, maintenance, support, and fully managed options for long-term low-cost infra.
            
          
        
          
            
            Charmed Kubernetes ›
          
          
            App portability for K8s on VMware, Amazon, Azure, Google, Oracle, IBM and bare metal.
            
          
        
          
            
            Juju ›
          
          
            Model-driven multi-cloud operations for applications. On-premise or on-cloud SAAS app store, with big data, k8s and openstack solutions
            
          
        
          
            
            Multipass ›
          
          
            On-demand build-and-test VMs for cloud devs on Windows, Mac and Linux desktops
            
          
        
          
            
            Ubuntu Advantage ›
          
          
            Extended Security Maintenance, Kernel Livepatch, FIPS, enterprise support and certification.
            
          
        
          Your subscriptions ›
        
      
        
          Support login ›
        
      
        
          
        
        
      
    
    
      
        
          
            Also from Canonical
            
              
          
            Launchpad ›
            The software collaboration platform behind Ubuntu.
            
          
        
          Login ›
        
      
        
          
        
          
            Ubuntu Image Service ›
            Hardened, standardised or customised Ubuntu images on public clouds and private infra.
            
          
        
          
            Cloud-init ›
            Control and customise your cloud instances on boot and during their lifecycle.
            
          
        
          
            Mir ›
            Ultra-fast and lightweight Wayland compositor for secure desktop and device displays.
            
          
        
          
            Landscape ›
            Updates, package management, repositories, security, and regulatory compliance for Ubuntu.
            
          
        
          
            Netplan ›
            Network abstraction for Linux to simplify and standardise complex network configuration.
            
          
        
          
            Charmed Kubeflow ›
            AI and MLOps at any scale, on any cloud.
            
          
        
          
            MicroK8s ›
            Small, fast, and fully-conformant Kubernetes for developers and IoT.
            
          
        
          
            MicroStack ›
            Single-node OpenStack for developers and IoT.
            
          
        
            
          
          
            Resources
            
              
          Webinars
        
          Tutorials
        
          Videos
        
          Case studies
        
          White papers
        
          Docs
        
          Training
        
          Blog
        
          Developer
        
          Install
        
          Download
        
            
            About
            
              
          Ubuntu
        
          Canonical
        
          Press centre
        
          Partners
        
          Contact"
"Also from Canonical","Also from Canonical
        
          
        Launchpad
      
        Ubuntu Image Service
      
        Cloud-init
      
        Mir
      
        Landscape
      
        Netplan
      
        Charmed Kubeflow
      
        MicroK8s
      
        MicroStack"
Resources,"Resources
        
          
        Webinars
      
        Tutorials
      
        Videos
      
        Case studies
      
        White papers
      
        Docs
      
        Training
      
        Blog
      
        Developer
      
        Install
      
        Download"
About,"About
        
          
        Ubuntu
      
        Canonical
      
        Press centre
      
        Partners
      
        Contact"
Ubuntu ›,"Ubuntu ›
          
          
            The new standard secure enterprise Linux for servers, desktops, clouds, developers and things.
            
          
        
          
            
            Snapcraft ›
          
          
            The app store with secure packages and ultra-reliable updates for multiple Linux distros.
            
          
        
          Login ›
        
      
        
          
        
          
            
            LXD ›
          
          
            A pure-container hypervisor. Replace legacy app VMs with containers for speed and density
            
          
        
          
            
            MAAS ›
          
          
            Create a bare-metal cloud with Metal as a Service for IPAM and provisioning
            
          
        
          
            
            Charmed OpenStack ›
          
          
            Upgrades, maintenance, support, and fully managed options for long-term low-cost infra.
            
          
        
          
            
            Charmed Kubernetes ›
          
          
            App portability for K8s on VMware, Amazon, Azure, Google, Oracle, IBM and bare metal.
            
          
        
          
            
            Juju ›
          
          
            Model-driven multi-cloud operations for applications. On-premise or on-cloud SAAS app store, with big data, k8s and openstack solutions
            
          
        
          
            
            Multipass ›
          
          
            On-demand build-and-test VMs for cloud devs on Windows, Mac and Linux desktops
            
          
        
          
            
            Ubuntu Advantage ›
          
          
            Extended Security Maintenance, Kernel Livepatch, FIPS, enterprise support and certification.
            
          
        
          Your subscriptions ›
        
      
        
          Support login ›"
Launchpad ›,"Launchpad ›
            The software collaboration platform behind Ubuntu.
            
          
        
          Login ›
        
      
        
          
        
          
            Ubuntu Image Service ›
            Hardened, standardised or customised Ubuntu images on public clouds and private infra.
            
          
        
          
            Cloud-init ›
            Control and customise your cloud instances on boot and during their lifecycle.
            
          
        
          
            Mir ›
            Ultra-fast and lightweight Wayland compositor for secure desktop and device displays.
            
          
        
          
            Landscape ›
            Updates, package management, repositories, security, and regulatory compliance for Ubuntu.
            
          
        
          
            Netplan ›
            Network abstraction for Linux to simplify and standardise complex network configuration.
            
          
        
          
            Charmed Kubeflow ›
            AI and MLOps at any scale, on any cloud.
            
          
        
          
            MicroK8s ›
            Small, fast, and fully-conformant Kubernetes for developers and IoT.
            
          
        
          
            MicroStack ›
            Single-node OpenStack for developers and IoT."
"Ubuntu Image Service ›","Ubuntu Image Service ›
            Hardened, standardised or customised Ubuntu images on public clouds and private infra."
Cloud-init ›,"Cloud-init ›
            Control and customise your cloud instances on boot and during their lifecycle."
Mir ›,"Mir ›
            Ultra-fast and lightweight Wayland compositor for secure desktop and device displays."
Landscape ›,"Landscape ›
            Updates, package management, repositories, security, and regulatory compliance for Ubuntu."
Netplan ›,"Netplan ›
            Network abstraction for Linux to simplify and standardise complex network configuration."
"Charmed Kubeflow ›","Charmed Kubeflow ›
            AI and MLOps at any scale, on any cloud."
MicroK8s ›,"MicroK8s ›
            Small, fast, and fully-conformant Kubernetes for developers and IoT."
MicroStack ›,"MicroStack ›
            Single-node OpenStack for developers and IoT."
